D8,145.10,51.50,90.00,BAT54S,SOT95P240X120-3N
D9,150.30,48.30,180.00,BAT54S,SOT95P240X120-3N
FB2,103.60,255.50,180.00,BLM18PG221SH1D,BLM18SP221SN1B
IC1,75.40,259.60,0.00,W25Q128JVSIQ,SOIC127P790X216-8N
IC2,91.70,278.70,90.00,CP2102N-A02-GQFN28R,QFN50P500X500X80-29N
IC3,50.66,277.09,0.00,TPS62902RPJR,TPS62902RPJR
IC4,44.20,261.70,90.00,BQ25172DSGR,SON50P200X200X80-9N
IC5,54.10,248.40,270.00,DMP2035U,SOT96P240X115-3N
IC6,46.00,249.00,180.00,TPS61085DGKR,SOP65P490X110-8N
IC7,123.70,32.00,270.00,TCN75AVOA713,SOIC127P600X175-8N
IC8,96.00,257.00,90.00,MT9700,SOT95P280X135-5N
IC9,69.00,244.00,0.00,MKDV1GCL-AB,SON127P800X600X80-8N
J1,40.39,271.71,90.00,U263-241N-4BQC02,U263241N4BQC02
J2,113.44,268.78,90.00,B7B-PH-SM4-TB_LF__SN_,B7BPHSM4TBLFSN
J3,214.50,236.50,270.00,S2B-PH-K-S,S2BPHKS
J5,156.20,26.35,0.00,505110-6091,5051106091
JP1,86.30,280.33,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP10,76.90,246.80,180.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP12,58.40,278.70,0.00,NC,SMT-JUMPER_2_NO_NO-SILK
JP13,59.00,261.70,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP14,59.00,263.30,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP15,40.67,256.93,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP16,199.00,45.20,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP17,200.62,45.20,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP18,208.73,45.20,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP19,202.24,45.20,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP2,86.30,278.60,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP20,203.87,45.20,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP21,205.49,45.20,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP22,74.60,265.30,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP23,72.90,265.30,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP24,76.40,265.30,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP25,78.20,265.30,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP26,64.98,270.40,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP27,63.46,270.40,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP28,61.93,270.40,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP29,59.00,260.10,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP3,65.90,275.70,180.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP30,59.00,258.50,180.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP31,76.90,245.10,180.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP32,76.90,243.40,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP33,76.90,241.70,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP34,62.70,245.90,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP35,62.70,244.20,180.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP4,58.40,280.30,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP5,58.40,281.92,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP6,182.90,52.30,180.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP7,177.30,54.50,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP8,207.11,45.20,90.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
JP9,99.40,260.10,0.00,NC,SMT-JUMPER_2_NC_TRACE_NO-SILK
L1,48.19,276.62,270.00,DFE252012F-1R0M=P2,DFE2HCAH1R0MJ0L
LED1,28.62,258.40,180.00,KPTD-3216SGC,KPTD3216SGC
Q1,183.80,25.87,90.00,DMP3068L-7,SOT96P240X115-3N
Q10,181.00,38.00,180.00,MMBT3906,SOT95P230X110-3N
Q2,191.00,44.00,90.00,DMP3068L-7,SOT96P240X115-3N
Q4,49.20,262.10,90.00,BSS138,SOT95P240X120-3N
Q5,179.00,48.00,90.00,DMN3065LW-7,SOT65P210X110-3N
Q6,53.50,270.50,90.00,DMP3056L-7,SOT96P240X110-3N
Q7,156.14,47.91,90.00,MMBT3904,SOT95P230X110-3N
Q8,172.00,46.64,90.00,DMN3065LW-7,SOT65P210X110-3N
R1,96.90,278.80,0.00,NC,RESC1005X40
R10,38.20,278.50,270.00,"10KΩ 0402",RESC1005X40
R11,66.60,266.90,90.00,"10KΩ 0402",RESC1005X40
R12,38.30,282.60,270.00,"10KΩ 0402",RESC1005X40
R13,79.10,271.15,90.00,"10KΩ 0402",RESC1005X40
R14,80.10,271.16,90.00,"10KΩ 0402",RESC1005X40
R15,48.60,267.00,90.00,"10KΩ 0402",RESC1005X40
R16,172.70,42.93,180.00,"2KΩ 0805",RESC2012X65
R17,178.00,31.00,270.00,"1MΩ 0805",RESC2012X65
R18,193.20,30.50,270.00,"0.2Ω 1206",RESC3216X70
R19,190.00,31.00,270.00,"1MΩ 0805",RESC2012X65
R2,96.90,277.70,0.00,"1KΩ 0402",RESC1005X40
R20,53.90,251.60,180.00,"100KΩ 0402",RESC1005X40
R21,51.00,280.50,180.00,"24.9KΩ 0402",RESC1005X40
R22,49.20,280.50,180.00,"113KΩ 0402",RESC1005X40
R23,196.40,30.50,270.00,"0.2Ω 1206",RESC3216X70
R24,44.50,257.50,90.00,"1.2KΩ 0603",RESC1608X60
R25,43.20,264.60,270.00,"11KΩ 0402",RESC1005X40
R26,44.10,264.60,270.00,"36KΩ 0402",RESC1005X40
R27,140.90,47.20,0.00,"0Ω 1206",RESC3216X70
R28,42.20,261.00,270.00,"10KΩ 0402",RESC1005X40
R29,45.00,264.60,270.00,"10KΩ 0402",RESC1005X40
R3,97.70,274.80,180.00,"47KΩ 0402",RESC1005X40
R30,67.80,259.80,0.00,"10KΩ 0402",RESC1005X40
R31,171.00,35.00,90.00,"1MΩ 0805",RESC2012X65
R32,174.00,35.00,90.00,"0.2Ω 1206",RESC3216X70
R33,160.50,39.80,270.00,"200kΩ 0805",RESC2012X65
R34,69.50,259.50,90.00,"10KΩ 0402",RESC1005X40
R35,81.80,260.70,270.00,"10KΩ 0402",RESC1005X40
R36,51.60,263.40,90.00,"10KΩ 0402",RESC1005X40
R37,98.50,255.60,270.00,"100KΩ 0402",RESC1005X40
R38,49.50,264.80,0.00,"560KΩ 0402",RESC1005X40
R39,48.10,258.70,270.00,"100KΩ 0402",RESC1005X40
R4,97.70,273.80,180.00,"22KΩ 0402",RESC1005X40
R40,96.40,253.40,180.00,"3.9KΩ 0603",RESC1608X60
R41,61.00,250.00,270.00,"2kΩ 0603",RESC1608X60
R42,51.30,248.70,0.00,"18KΩ 0402",RESC1005X40
R43,51.20,250.80,270.00,"75kΩ 0603",RESC1608X60
R44,157.00,43.00,90.00,"16kΩ 0805",RESC2012X65
R45,156.20,51.50,0.00,"2.2Ω 1206",RESC3216X70
R46,167.10,43.00,90.00,"4.3kΩ 0805",RESC2012X65
R47,169.00,43.00,90.00,"110kΩ 0805",RESC2012X65
R48,173.00,51.00,180.00,"2.2Ω 1206",RESC3216X70
R49,184.00,38.00,270.00,"100kΩ 0805",RESC2012X65
R5,41.50,282.50,180.00,"820KΩ 0402",RESC1005X40
R50,175.60,47.50,90.00,"1.5kΩ 0805",RESC2012X65
R51,127.00,39.00,270.00,"4.3kΩ 0805",RESC2012X65
R52,125.00,39.00,270.00,"4.3kΩ 0805",RESC2012X65
R53,123.00,39.00,270.00,"4.3kΩ 0805",RESC2012X65
R54,160.50,43.00,270.00,"200kΩ 0805",RESC2012X65
R57,64.60,248.60,270.00,"100KΩ 0402",RESC1005X40
R6,42.00,278.70,270.00,"820KΩ 0402",RESC1005X40
R7,48.20,246.20,90.00,"30KΩ 0402",RESC1005X40
R8,67.60,275.50,270.00,"10KΩ 0402",RESC1005X40
R9,67.50,266.90,90.00,"10KΩ 0402",RESC1005X40
S1,28.50,253.60,180.00,TS-1088-AR02016,TS1088AR02016
S3,28.58,271.88,90.00,"TS-1103S-C-U (C318914)",TS1103SCU
TP3,91.62,272.00,0.00,"TPB1,27","B1,27"
TP4,90.40,273.30,0.00,"TPB1,27","B1,27"
U$1,189.10,24.30,90.00,"15 uH SWPA5040S150MT",INDPM5050X400N
U$2,39.20,246.80,90.00,"3.3uH 1.5A",SL0420-3R3M
U$3,184.00,48.20,90.00,"15 uH SWPA5040S150MT",INDPM5050X400N
U$5,194.20,37.75,270.00,"15 uH SWPA5040S150MT",INDPM5050X400N
U1,76.30,278.60,0.00,ESP32-C6-MINI-1-N4,XCVR_ESP32-C6-MINI-1-N4
U2,39.44,280.53,90.00,FUSB303TMX,X2QFN12
U4,63.30,267.20,270.00,KXTJ3-1057,KIONIX_KXTJ3-1057
