Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CATEGORY,CHECK_PRICES,DESCRIPTION,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,OPERATING_TEMP,PACKAGE,PARTREV,PART_STATUS,POPULARITY,PRICE,RATING,ROHS_COMPLIANT,SERIES,SIMULATION_DATA,SNAPEDA_LINK,SNAPEDA_PN,STANDARD,SUB-CATEGORY,THERMALLOSS,TOLERANCE,TP_SIGNAL_NAME,TYPE,VOLTAGE_RATING
1,DFE252012F-1R0M=P2,DFE252012F-1R0M=P2,DFE2HCAH1R0MJ0L,L1,"DFE252012F Series Inductor 1.0uH +/-20% 1008 (2520)",DFE252012F-1R0M=P2,https://www.arrow.com/en/products/dfe252012f-1r0mp2/murata-manufacturing.html?utm_currency=USD&region=europe,,,,"DFE252012F Series Inductor 1.0uH +/-20% 1008 (2520)",1.2mm,,"Murata Electronics",DFE252012F-1R0M=P2,,,81-DFE252012F-1R0MP2,https://www.mouser.co.uk/ProductDetail/Murata-Electronics/DFE252012F-1R0M%3dP2?qs=ty6qhqyUUEtPvXJAIo0Pnw%3D%3D,,,,,,,,,,,,,,,,,,,,,
2,DMN3065LW-7,DMN3065LW-7,SOT65P210X110-3N,"Q5, Q8","Diodes Inc DMN3065LW-7 N-channel MOSFET Transistor, 4 A, 30 V, 3-Pin SOT-323",DMN3065LW-7,https://www.arrow.com/en/products/dmn3065lw-7/diodes-incorporated?utm_currency=USD&region=europe,,,,"Diodes Inc DMN3065LW-7 N-channel MOSFET Transistor"," 4 A"," 30 V"," 3-Pin SOT-323",1.1mm,,"Diodes Incorporated",DMN3065LW-7,,,621-DMN3065LW7,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN3065LW-7?qs=JtunSoW0QGGjls1HwhS7gQ%3D%3D,,,,,,,,,,,,,,,,,,
1,DMP2035U,DMP2035U,SOT96P240X115-3N,IC5,"MOSFET, P CH, ESD,-20V,-3.6A, SOT23",,,,,,MOSFET," P CH"," ESD",-20V,-3.6A," SOT23",1.15mm,,"Diodes Incorporated",DMP2035U,,,N/A,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMP2035U?qs=Wj%2FVkw3K%252BMDmKO9IPsKBeQ%3D%3D,,,,,,,,,,,,,,,,
1,DMP3056L-7,DMP3056L-7,SOT96P240X110-3N,Q6,"MOSFET 30V P-Ch Enh Mode 50mOhm -10Vgs -4.3A",DMP3056L-7,https://www.arrow.com/en/products/dmp3056l-7/diodes-incorporated?region=nac,,,,"MOSFET 30V P-Ch Enh Mode 50mOhm -10Vgs -4.3A",1.1mm,,"Diodes Incorporated",DMP3056L-7,,,621-DMP3056L-7,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMP3056L-7?qs=OVC8WVYZliQTX9kMWW%252B96Q%3D%3D,,,,,,,,,,,,,,,,,,,,,
2,DMP3068L-7,DMP3068L-7,SOT96P240X115-3N,"Q1, Q2","MOSFET 30V P-Ch Enh Mode 72mOhm -10V -3.9A",DMP3068L-7,https://www.arrow.com/en/products/dmp3068l-7/diodes-incorporated?utm_currency=USD&region=nac,,,,"MOSFET 30V P-Ch Enh Mode 72mOhm -10V -3.9A",1.15mm,,"Diodes Incorporated",DMP3068L-7,,,621-DMP3068L-7,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMP3068L-7?qs=BvpHGKeVh3rIffE3x2yGSw%3D%3D,,,,,,,,,,,,,,,,,,,,,
1,ESP32-C6-MINI-1-N4,ESP32-C6-MINI-1-N4,XCVR_ESP32-C6-MINI-1-N4,U1,"Check availability",,,"In Stock",,https://www.snapeda.com/parts/ESP32-C6-MINI-1-N4/Espressif+Systems/view-part/?ref=eda,"                                                      802.15.4"," Bluetooth"," WiFi 802.11ax"," Bluetooth v5.0"," Zigbee® Transceiver Module 2.4GHz Antenna Not Included Surface Mount                                              ",,,,,,"Espressif Systems",,,ESP32-C6-MINI-1-N4,,,"SMD-53 Espressif Systems",,,,None,,,,,https://www.snapeda.com/parts/ESP32-C6-MINI-1-N4/Espressif+Systems/view-part/?ref=snap,,,,
1,FUSB303TMX,FUSB303TMX,X2QFN12,U2,"Check availability",,,"In Stock",,https://www.snapeda.com/parts/FUSB303TMX/Onsemi/view-part/?ref=eda,"                                                      USB Controller  I²C Interface 12-X2QFN (1.6x1.6)                                              ",,,,,,"ON Semiconductor",,,FUSB303TMX,,,"X2QFN-12 ON Semiconductor",,,,None,,,,,https://www.snapeda.com/parts/FUSB303TMX/Onsemi/view-part/?ref=snap,,,,,,,,
1,KPTD-3216SGC,KPTD-3216SGC,KPTD3216SGC,LED1,"LED super bright green 568nm;105mW;water clear;3.2x1.6mm;SMT;reel",KPTD-3216SGC,https://www.arrow.com/en/products/kptd-3216sgc/kingbright,,,,"LED super bright green 568nm;105mW;water clear;3.2x1.6mm;SMT;reel",2mm,,Kingbright,KPTD-3216SGC,,,N/A,https://www.mouser.co.uk/ProductDetail/Kingbright/KPTD-3216SGC?qs=2JU0tDl2GZ1fMmK056gkww%3D%3D,,,,,,,,,,,,,,,,,,,,,
1,KXTJ3-1057,KXTJ3-1057,KIONIX_KXTJ3-1057,U4,"Check availability",,,"In Stock",,https://www.snapeda.com/parts/KXTJ3-1057/Kionix/view-part/?ref=eda,"                                                      KXTJ3-1057 series Accelerometer"," 3 Axis Sensor Evaluation Board                                              ",,,,,,"Kionix Inc.",,,KXTJ3-1057,,,"LGA-12 Rohm",,,,None,,,,,https://www.snapeda.com/parts/KXTJ3-1057/Kionix/view-part/?ref=snap,,,,,,,
3,LESD5D5.0CT1G,LESD5D5.0CT1G,LESD5D50CT1G,"D1, D2, D3","Transient Voltage Suppressors for ESD Protection",,,,,,"Transient Voltage Suppressors for ESD Protection",0.7mm,,LRC,LESD5D5.0CT1G,,,,,,,,,,,,,,,,,,,,,,,,,
