Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CATEGORY,CHECK_PRICES,DESCRIPTION,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,OPERATING_TEMP,PACKAGE,PARTREV,PART_STATUS,POPULARITY,PRICE,RATING,ROHS_COMPLIANT,SERIES,SIMULATION_DATA,SNAPEDA_LINK,SNAPEDA_PN,STANDARD,SUB-CATEGORY,THERMALLOSS,TOLERANCE,TP_SIGNAL_NAME,TYPE,VOLTAGE_RATING
9,"10uF 25V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,"C1, C3, C8, C37, C46, C49, C50, C66, C67","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"10uF 50V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,"C10, C12, C17, C55, C64","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"110kO 0805",R_CHIP-0805(2012-METRIC),RESC2012X65,R47,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"113KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,R22,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"11KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,R25,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
3,"15 uH SWPA5040S150MT",SWPA5040S150MT,INDPM5050X400N,"U$1, U$3, U$5","1uH +/-30% 4.9A 16m SMD,5.0x5.0x4.0mm Power Inductors RoHS",,,,,,"1uH +/-30% 4.9A 16m SMD","5.0x5.0x4.0mm Power Inductors RoHS",4mm,,SUNLORD,SWPA5040S1R0NT,,,,,,,,,,,,,,,,,,,,,,,,
1,"16kO 0805",R_CHIP-0805(2012-METRIC),RESC2012X65,R44,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"18KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,R42,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"1KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,R2,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
3,"1MO 0805",R_CHIP-0805(2012-METRIC),RESC2012X65,"R17, R19, R31","Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
2,"1nF 25V 0402",C_CHIP-0402(1005-METRIC),CAPC1005X60,"C45, C63","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"1uF 25V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,"C2, C6, C39, C40, C47, C65","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"1uF 50V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,"C19, C22","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2.2O 1206",R_CHIP-1206(3216-METRIC),RESC3216X70,"R45, R48","Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
2,"200kO 0805",R_CHIP-0805(2012-METRIC),RESC2012X65,"R33, R54","Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"220nF 50V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,C29,"Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"22KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,R4,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
12,"22uF 25V 1206",C_CHIP-1206(3216-METRIC),CAPC3216X135,"C30, C31, C32, C33, C34, C41, C42, C43, C51, C52, C53, C54","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"24.9KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,R21,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"2KO 0805",R_CHIP-0805(2012-METRIC),RESC2012X65,R16,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"2kO 0603",R_CHIP-0603(1608-METRIC),RESC1608X60,R41,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"3.3pF 10V 0402",C_CHIP-0402(1005-METRIC),CAPC1005X60,C38,"Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"3.3uH 1.5A",CUSTOMINDUCTORSSL0420-3R3M,SL0420-3R3M,U$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"3.9KO 0603",R_CHIP-0603(1608-METRIC),RESC1608X60,R40,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"30KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,R7,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"36KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,R26,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
4,"4.3kO 0805",R_CHIP-0805(2012-METRIC),RESC2012X65,"R46, R51, R52, R53","Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
8,"4.7uF 25V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,"C4, C5, C9, C15, C16, C27, C36, C56","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4.7uF 50V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,C21,"Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"470nF 50V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,"C24, C25, C28, C57, C58, C59","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"47KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,R3,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"47nF 50V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,C23,"Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
